# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
Indexing.totalTimeIndexersSleptMs,1736318043812000000,1736318104025000000,0
Indexing.writer_1.totalTimeSpentWritingMs,1736318043812000000,1736318104025000000,0
Indexing.writesQueuedMax,1736318043812000000,1736318104025000000,0
Indexing.writer_3.totalTimeSpentWritingMs,1736318043812000000,1736318104025000000,0
IndexesFlusher.totalContentionQuotaSpent,1736318043812000000,1736318104025000000,20
Indexing.writesQueuedAvg,1736318043812000000,1736318104025000000,0.0
IndexesFlusher.totalFlushesRetried,1736318043812000000,1736318104025000000,1
Indexing.writer_2.totalTimeSpentWritingMs,1736318043812000000,1736318104025000000,0
Indexing.cache.totalCacheAccesses,1736318043812000000,1736318104025000000,52446
Indexing.writer_0.totalTimeSpentWritingMs,1736318043812000000,1736318104025000000,0
Indexing.cache.totalCacheEvicted,1736318043812000000,1736318104025000000,49551
IndexesFlusher.totalFlushingTimeUs,1736318043812000000,1736318104025000000,1338889
IndexesFlusher.totalFlushes,1736318043812000000,1736318104025000000,105
Indexing.cache.totalCacheMisses,1736318043812000000,1736318104025000000,49551
Indexing.writesQueuedMin,1736318043812000000,1736318104025000000,0
parser.IgnoreLang.size.bytes,1736318043812000000,1736318104025000000,0
writeAction.count,1736318043812000000,1736318104025000000,74
DiskQueryRelay.tasksExecuted,1736318043812000000,1736318104025000000,3032
lexer.Python.size.bytes,1736318043812000000,1736318104025000000,112961
parser.Python.size.bytes,1736318043812000000,1736318104025000000,112961
parser.Python.time.ns,1736318043812000000,1736318104025000000,1609100029
parser.IgnoreLang.time.ns,1736318043812000000,1736318104025000000,20065956
DiskQueryRelay.taskExecutionTotalTimeUs,1736318043812000000,1736318104025000000,1368129
DiskQueryRelay.taskWaitingTotalTimeUs,1736318043812000000,1736318104025000000,1971096
lexer.IgnoreLang.time.ns,1736318043812000000,1736318104025000000,93860
writeAction.max.wait.ms,1736318043812000000,1736318104025000000,22
writeAction.wait.ms,1736318043812000000,1736318104025000000,53
lexer.Python.time.ns,1736318043812000000,1736318104025000000,178194656
writeAction.median.wait.ms,1736318043812000000,1736318104025000000,0
lexer.IgnoreLang.size.bytes,1736318043812000000,1736318104025000000,0
DiskQueryRelay.tasksRequested,1736318043812000000,1736318104025000000,3032
NonBlockingReadAction.finalizedExecutionTimeUs,1736318043812000000,1736318104025000000,692658
NonBlockingReadAction.failedExecutionsCount,1736318043812000000,1736318104025000000,3
NonBlockingReadAction.finalizedExecutionsCount,1736318043812000000,1736318104025000000,27
FlushQueue.waitingTime90PNs,1736318043812000000,1736318104025000000,0
FlushQueue.queueSize90P,1736318043812000000,1736318104025000000,0
FlushQueue.tasksExecuted,1736318043812000000,1736318104025000000,0
FlushQueue.waitingTimeAvgNs,1736318043812000000,1736318104025000000,0.0
AWTEventQueue.dispatchTime90PNs,1736318043812000000,1736318104025000000,0
FlushQueue.executionTimeAvgNs,1736318043812000000,1736318104025000000,0.0
FlushQueue.executionTime90PNs,1736318043812000000,1736318104025000000,0
FlushQueue.queueSizeMax,1736318043812000000,1736318104025000000,0
FlushQueue.waitingTimeMaxNs,1736318043812000000,1736318104025000000,0
FlushQueue.queueSizeAvg,1736318043812000000,1736318104025000000,0.0
AWTEventQueue.eventsDispatched,1736318043812000000,1736318104025000000,0
WriteAction.executionsCount,1736318043812000000,1736318104025000000,74
FlushQueue.executionTimeMaxNs,1736318043812000000,1736318104025000000,0
NonBlockingReadAction.failedExecutionTimeUs,1736318043812000000,1736318104025000000,297767
AWTEventQueue.dispatchTimeAvgNs,1736318043812000000,1736318104025000000,0.0
AWTEventQueue.dispatchTimeMaxNs,1736318043812000000,1736318104025000000,0
ReadAction.executionsCount,1736318043812000000,1736318104025000000,17964
AWTEventQueue.dispatchTimeTotalNS,1736318043812000000,1736318104025000000,10666408746
workspaceModel.moduleManagerBridge.newModule.ms,1736318043812000000,1736318104025000000,0
jps.reload.project.entities.ms,1736318043812000000,1736318104025000000,1
workspaceModel.save.cache.to.file.ms,1736318043812000000,1736318104025000000,344
workspaceModel.load.cache.from.file.ms,1736318043812000000,1736318104025000000,402
workspaceModel.moduleBridge.before.changed.ms,1736318043812000000,1736318104025000000,0
jps.facet.change.listener.init.bridge.ms,1736318043812000000,1736318104025000000,0
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1736318043812000000,1736318104025000000,0
workspaceModel.load.cache.metadata.from.file.ms,1736318043812000000,1736318104025000000,42
workspaceModel.mutableEntityStorage.remove.entity.ms,1736318043812000000,1736318104025000000,0
jps.load.project.to.empty.storage.ms,1736318043812000000,1736318104025000000,165
jps.global.handle.before.change.events.ms,1736318043812000000,1736318104025000000,0
workspaceModel.mutableEntityStorage.referrers.ms,1736318043812000000,1736318104025000000,0
jps.library.entities.serializer.save.entities.ms,1736318043812000000,1736318104025000000,0
workspaceModel.mutableEntityStorage.put.entity.ms,1736318043812000000,1736318104025000000,10
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1736318043812000000,1736318104025000000,2
